Atakpame,        7.530546, 1.124519,     0.0,     0.0,    0.0000, 
Talo-1,          7.496354, 1.169745,  4991.5, -3781.2, 6261.9921, 
Talo-2,          7.494991, 1.172715,  5319.2, -3931.9, 6614.6599, 
Talo-0,          7.487277, 1.179740,  6094.6, -4785.0, 7748.5723, 
Kpala,           7.485807, 1.197438,  8047.9, -4947.5, 9447.0339, 170
Tadicope,        7.492743, 1.198730,  8190.4, -4180.5, 9195.6094, 
Ifoanta,         7.495041, 1.201477,  8493.6, -3926.4, 9357.2355, 160
Ossoute,         7.490020, 1.208601,  9279.9, -4481.6, 10305.4006, 150
#Ifoanta-Ossoute, 7.489807, 1.209084,  9333.2, -4505.2, 10363.6600, ???
Gbeadoukou,      7.468240, 1.239230, 12660.3, -6890.2, 14413.8146, 
Kotchadgo,       7.476957, 1.244639, 13257.3, -5926.2, 14521.5649, 50

